num,site_name,lat,lon
14831,GRASS VALLEY C NR FRENCH GULCH CA,40.614444,-122.745278
14832,GRASS VALLEY C NR FRENCH GULCH CA,40.614444,-122.745278
14833,GRASS VALLEY C NR FRENCH GULCH CA,40.614444,-122.745278
14834,GRASS VALLEY C NR FRENCH GULCH CA,40.614444,-122.745278
14836,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14837,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14838,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14839,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14840,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14841,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14842,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14843,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14844,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14845,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14846,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14847,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14848,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14849,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14850,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14851,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14852,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14853,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14854,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14855,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14856,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14857,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14858,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14859,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14860,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14861,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14862,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14863,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14864,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14865,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14866,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14867,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14868,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14869,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14870,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14871,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14872,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14873,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14874,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14875,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14876,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14877,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14878,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14879,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14880,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14881,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14882,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14883,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14884,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14885,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14886,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14887,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14888,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14889,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14890,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14891,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14892,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14893,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14894,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14895,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14896,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14897,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14898,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14899,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14900,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14901,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14902,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14903,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14904,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14905,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14906,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14907,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14908,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14909,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14910,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14911,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14912,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14913,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14914,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14915,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14916,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14917,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14918,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14919,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14920,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14921,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14922,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14923,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14924,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14925,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14926,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14927,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14928,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14929,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14930,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14931,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14932,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14933,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14934,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14935,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14936,LITTLE GRASS VALLEY C NR LEWISTON CA,40.662834,-122.799188
14938,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14939,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14940,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14941,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14942,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14943,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14944,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14945,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14946,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14947,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14948,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14949,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14950,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14951,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14952,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14953,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14954,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14955,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14956,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14957,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14958,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14959,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14960,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14961,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14962,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14963,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14964,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14965,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14966,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14967,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14968,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14969,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14970,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14971,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14972,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14973,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14974,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14975,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14976,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14977,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14978,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14979,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14980,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14981,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14982,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14983,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14984,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14985,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14986,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14987,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14988,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14989,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14990,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14991,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14992,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14993,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14994,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14995,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14996,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14997,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14998,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
14999,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15000,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15001,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15002,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15003,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15004,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15005,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15006,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15007,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15008,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15009,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15010,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15011,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15012,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15013,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15014,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15015,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15016,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15017,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15018,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15019,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15020,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15021,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15022,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15023,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15024,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15025,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15026,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15027,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15028,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15029,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15030,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15031,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15032,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15033,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15034,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15035,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15036,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15037,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15038,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15039,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15040,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15041,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15042,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15043,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15044,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15045,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15046,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15047,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15048,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15049,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15050,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15051,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15052,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15053,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15054,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15055,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15056,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15057,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15058,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15059,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15060,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15061,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15062,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15063,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15064,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15065,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15066,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15067,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15068,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15069,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15070,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
15071,GRASS VALLEY C A FAWN LODGE NR LEWISTON CA,40.676424,-122.829277
